nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Ramón Cazares Galindo",7473184,8,RamOIngalindo@viajes.cl,racaga,nwDkW5nfoZHZ4aE,"+56 9 4502 0837",Nocturno,Fonasa,"Part time",537589,62294,2025-01-20,1176000,8,"No disponible",10169,Cartagena,Guadalajara,2025-04-20,2025-04-22,39,4154,147000,Futura,Cama,"{Baño,Calefacción,""Aire acondicionado""}",{},,{}
"Sta. María Elena Marroquín Solís",3280540,0,Sta.solOAs@viajes.cl,stmaelmaso,OZdPy6ZMbjfY5R,"+56 9 3083 1117",Diurno,Fonasa,"Part time",537612,61596,2025-01-13,321000,3,"No disponible",80848,Ávila,Torrelavega,2025-01-25,2025-01-26,43,2401,107000,JetSur,Cama,"{Calefacción,TV,Wifi}",{},,{}
"Débora Cerda Abrego",380222,1,DOoboraabrego@viajes.cl,déceab,oidvBZaQn2J,"+56 9 7966 9246",Nocturno,Fonasa,"Part time",537613,65356,2026-09-04,3360000,8,"No disponible",35618,Irún,Telde,2026-10-13,2026-10-15,96,4059,420000,"Turkish Airlines",,{},"{Cádiz,Telde,Guadalajara}","Primera clase",{}
"Beatriz Camarillo Cazares",522617,1,Beatrizcazares@viajes.cl,Beatrizcazares,lJIOLAC7k,"+56 9 9743 3847",Nocturno,Banmédica,"Part time",537616,65356,2026-05-18,232000,8,"No disponible",47943,Telde,Toledo,2026-10-17,2026-10-17,74,622,29000,EasyJet,,{},{},"Clase ejecutiva",{}
"Alfonso Abreu Jaimes",20694683,0,alfonso6673@viajes.cl,alfonso8400,joy4f1UxI5wcaLL,"+56 9 2214 5952",Diurno,"Más vida","Part time",537621,66017,2025-02-05,1032000,6,"No disponible",56381,Getafe,Marbella,2026-05-30,2026-05-30,33,1261,172000,"Buses Nilahue",Cama,"{Calefacción,Agua,""Aire acondicionado""}",{},,{}
"Alfredo Gamez Agosto",22529924,2,algaag@@viajes.cl,Alfredoagosto,FriWr4d0rwOr,"+56 2 1662 5058",Nocturno,"Más vida","Full time",536195,67734,2025-01-21,365000,5,"No disponible",39210,Torremolinos,Logroño,2025-03-17,2025-03-18,7,2110,73000,"British Airways",,{},{Algeciras},"Clase económica",{}
"Mayte Duarte Cardona",29345350,0,maduca@viajes.cl,maduca,GvuQVZ4hm9d3xV,"+56 2 5172 1954",Diurno,Banmédica,"Full time",536196,67734,2025/02/08,1815000,5,"No disponible",66238,Logroño,Fuenlabrada,2025/03/18,2025/03/20,77,3574,363000,"Turkish Airlines",,{},"{Leganés,Mataró}","Primera clase",{}
"María del Carmen Cardona Benavídez",6559483,8,marOAa5411@viajes.cl,Maríabenavídez,d4XG8KmRskK2,"+56 2 8690 2462",Nocturno,Colmena,"Part time",536203,67734,2025-02-03,1500000,5,"No disponible",22677,Fuenlabrada,"Alcalá de Henares",2025-03-26,2025-03-27,59,2556,300000,Qantas,,{},"{Barcelona,Elche,Viladecans}","Primera clase",{}
"Samuel Curiel Rivas",8.079.407,0,sacuri@viajes.ceele,sacuri,Qxqs21mnK4cBe,+56-9-1960-4708,Nocturno,Colmena,"Part time",536207,72032,2025/02/03,680000,4,"No disponible",2676,Irún,Málaga,2025/09/25,2025/09/25,35,942,170000,JetSur,Cama,"{""Asientos reclinables"",Agua,Wifi}",{},,{}
"Rubén Monroy Quezada",1106917,7,rubOon2473@viajes.cl,,PrSiZo4Gagu2G0,,Nocturno,Banmédica,"Full time",536208,68618,2025-01-10,,7,"No disponible",15100,Pamplona,Pontevedra,2026-01-28,2026-01-30,,3515,188000,,Cama,"{Agua,Wifi,Comida}",{},,{}
"Elena Garibay Henríquez",8690351,2,elena8997@viajes.ceele,elena7908,OlcGiw09B,"+56 9 1289 1722",Diurno,Fonasa,"Part time",536210,68618,2025/03/17,-630000,7,"No disponible",47688,Pontevedra,"Talavera de la Reina",2026/01/31,2026/02/01,35,1949,90000,Monbus,Cama,"{Baño,Comida,""Aire acondicionado""}",{},,{}
"Óscar Gálvez Berríos",5158576,3,OIscar7270@viajes.cl,óscar9603,TY1rvLZfVbpU4Bk,"+56 2 0782 4794",Nocturno,Consalud,"Part time",536211,68618,2025-02-23,777000,7,"No disponible",80397,"Talavera de la Reina",Fuenlabrada,2026-02-01,2026-02-03,30,3440,111000,Futura,Cama,"{Wifi,Baño,""Aire acondicionado""}",{},,{}
"Gonzalo Márquez Prado",25984791,5,Gonzaloprado@viajes.cl,Gonzaloprado,NieREzQ4628,"+56 9 7872 1064",Diurno,Fonasa,"Full time",536212,62478,2025-01-18,1710000,9,"No disponible",7010,Torrelavega,Orense,2025-01-27,2025-01-28,38,2119,190000,"El Rápido Internacional",Cama,"{Calefacción,Baño,""Aire acondicionado""}",{},,{}
"Sr. Adela Martínez Olvera",16179761,8,sr.9835@viajes.cl,sr.1828,eyxqCpqD1YpcNr,"+56 9 8893 4008",Nocturno,"Más vida","Part time",536213,62478,2025-01-19,396000,9,"No disponible",63001,Orense,Alcorcón,2025-01-28,2025-01-28,35,350,44000,ADO,Normal,"{Baño,""Aire acondicionado"",TV}",{},,{}
"Dorotea Garza Rodríquez",24123782,6,dogaro@viajes.cl,dorotea8804,Z6u07duRNH2,"+56 9 3987 2765",Diurno,Consalud,"Full time",536218,63981,2025-04-10,786000,6,"No disponible",33665,Motril,Madrid,2025-06-14,2025-06-14,39,1342,131000,JetBlue,,{},{},"Clase económica",{}
"María José Mayorga Molina",14395541,9,marOAa1272@viajes.cl,maría2774,v9PCwTfP82e8nW,"+56 9 5841 4186",Diurno,"Más vida","Full time",536219,70893,2025-01-14,1240000,4,"No disponible",171,Reus,Badalona,2026-04-08,2026-04-10,88,3819,310000,"ŽFBH (Bosnia y Herzegovina)",,"{TV,Comida,""Asientos reclinables"",Wifi,Calefacción,""Aire acondicionado"",Agua}",{},,"{""Palma de Mallorca""}"
"Benjamín Portillo Girón",23379627,1,benjamOAn622@viajes.cl,Benjamíngirón,mjoVvfCLo6emz6,"+56 9 6071 5615",Diurno,"Más vida","Full time",536223,68425,2025-08-16,325000,5,"No disponible",56874,Salamanca,"El Ejido",2026-08-13,2026-08-15,34,3794,65000,Turbus,Cama,"{""Aire acondicionado"",TV,""Asientos reclinables""}",{},,{}
"Diego Meza Carrero",4046895,1,diego9697@viajes.cl,Diegocarrero,r0OTBBkX,"+56 2 6364 0708",Nocturno,Colmena,"Part time",536230,68425,2026/05/12,630000,5,"No disponible",61775,"El Ejido",Alcorcón,2026/08/21,2026/08/22,41,2432,126000,Plusmar,Cama,"{Agua,Baño,""Asientos reclinables""}",{},,{}
"Dorotea Pedroza Almonte",8776695,0,dopeal@@viajes.cl,dorotea7189,zQ43P9KIZ,"+56 2 1382 0883",Nocturno,Colmena,"Full time",536237,67364,2025-06-08,574000,7,"No disponible",265,"San Sebastían de los Reyes",Valdemoro,2025-06-21,2025-06-22,67,2745,82000,"Air New Zealand",,{},"{Salamanca,Elche,""Ciudad Real""}","Primera clase",{}
"Lourdes Cedillo Jaramillo",16684792,3,lourdes7642@viajes.cl,Lourdesjaramillo,2w9tbYIftG,"+56 9 3766 4724",Nocturno,Banmédica,"Full time",536238,63101,2025-03-12,1890000,5,"No disponible",21615,Lorca,Lorca,2025-04-23,2025-04-25,93,3872,378000,KLM,,{},"{Badajoz,Alcobendas}","Primera clase",{}
"Adela Cepeda Arreola",26923907,7,adela8346@@viajes.cl,Adelaarreola,Q9skbvwzgDYfd,"+56 9 9137 0196",Diurno,Fonasa,"Full time",536240,63101,2025-01-29,1085000,5,"No disponible",52777,lorca#,CáDIZ!!!,2025-04-26,2025-04-28,33,3369,217000,JetBlue,,{},"{""Alcalá de Henares"",Palencia,Palencia}","Clase ejecutiva",{}
"Luis Miguel Alaniz Solorio",26590774,1,luis2060@viajes.cl,luis6367,2jTGLPcq,"+56 9 8560 2159",Nocturno,Banmédica,"Full time",536246,64076,2025-05-11,1920000,4,"No disponible",9235,Fuengirola,Cáceres,2025-08-20,2025-08-22,2,3618,480000,"Deutsche Bahn (DB)",,"{Calefacción,""Asientos reclinables"",""Aire acondicionado"",TV,Agua,Comida,Wifi}",{},,{}
"Pilar Garrido Pizarro",7894458,7,pilar5483@viajes.cl,pigapi,s6v7dQ9Vc,+56-2-3713-1602,Diurno,"Más vida","Full time",536254,64076,2025/01/24,-1356000,4,"No disponible",70074,cáceres#,Santander,2025/08/29,2025/08/31,97,3071,339000,AVE,,"{""Asientos reclinables"",Agua,TV,Calefacción,Comida,Wifi}",{},,"{Gijón,Algeciras}"
"Sr. Julio Casillas Meraz",16831151,6,sr.8176@viajes.cl,Sr.meraz,WIySvWhzq58YAv,"+56 9 3193 3332",Nocturno,Colmena,"Full time",536257,64076,2025-05-02,292000,4,"No disponible",78902,Santander,Rubí,2025-09-02,2025-09-02,59,1033,73000,"PKP (Polonia)",,"{TV,Calefacción,Agua}",{},,"{Sevilla,""Hospitalet de LLobregat""}"
"Leonor Alcala Gallegos",13989233,0,Leonorgallegos@viajes.cl,leonor6547,g715mln1tPXr,+56-2-7721-7918,Nocturno,Fonasa,"Part time",536262,67906,2026/02/23,568000,8,"No disponible",62934,Madrid,LEóN!!!,2026/08/27,2026/08/27,50,1060,71000,Alsa,Cama,"{Baño,Calefacción,TV}",{},,{}
"Sra. Luisa Malave Cavazos",28.042.706,3,Sra.cavazos@viajes.cl,srlumaca,N6lKg7eewj,"+56 9 6996 4728",Diurno,Banmédica,"Part time",536263,67906,2026-01-20,536000,8,"No disponible",15362,León,Toledo,2026-08-27,2026-08-27,49,1313,67000,"Condor Bus",Cama,"{Wifi,Comida,Baño}",{},,{}
"Sta. Juan Vargas Rojas",10016175,3,Sta.rojas@viajes.ceele,sta.6622,687kzy57AqPbS5mv,"+56 2 7194 9813",Diurno,Banmédica,"Part time",536269,61747,2026-04-13,693000,7,"No disponible",89405,Elche,Elche,2026-07-12,2026-07-14,41,3801,99000,"Condor Bus",Cama,"{""Aire acondicionado"",Comida,Agua}",{},,{}
