agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correr_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
63299,Cena de Trabajo,78415,2025-05-13,-784000,,No disponible,896,,,,,,,,,,,"{Wifi,Comida,""Asientos reclinables"",Spa,Calefacción}",{},,{},Loft en Santa Lucía de Tirajana,Santa Lucía de Tirajana,112000,4,2026-08-22,2026-08-29,{},Marcos Domínquez Nava,+56 2 4479 6497,Ideal para una escapada romántica,4,6,3,,,,{},
63299,Cena de Trabajo,78416,2026-08-15,80000,8,No disponible,80,,,,,,,Abercrombie & Kent,,,,{},{},,{},,Santa Lucía de Tirajana,,,,,{},,,Aventúrate en la montaña,,,,,,10000,{},2026-08-23
63299,Cena de Trabajo,78417,2025-07-29,536000,8,No disponible,536,,,,,,,Abercrombie & Kent,,,,{},{},,{},,Santa Lucía de Tirajana,,,,,{},,,Disfruta de un día en la naturaleza,,,,Tour,1,67000,{},2026-08-24
57773,Salida con Amigos,78425,2025-01-28,5208000,7,No disponible,-868,,,,,,,,,,,"{""Asientos reclinables"",""Servicio a la habitación"",TV,Baño,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Motril,124000,5,2026-10-29,2026-11-04,"{""No se permite fumar"",""No se permiten mascotas"",""No se permiten fiestas""}",,,,,,,,,,{},
57773,Salida con Amigos,78426,2025-01-10,287000,7,No disponible,287,,,,37,,,TUI Group,,,,{},{},,,,Motril,,,,,{},,,Aventúrate en la montaña,,,,Excursión,4,41000,{},2026-10-30
57773,Salida con Amigos,78427,2026-05-17,266000,7,No disponible,266,,,,7,,,Globus,,,,{},{},,{},,Motril,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,3,38000,{},2026-10-31
57773,Salida con Amigos,78428,2026-06-27,602000,7,No disponible,602,,,,10,,,Hays Travel,,,,{},{},,{},,Motril,,,,,,,,,,,,Paseo,2,86000,{},2026-11-01
57773,Salida con Amigos,,2025-07-10,672000,7,No disponible,672,,,,5,,,National Geographic Expeditions,,,,{},{},,{},,Motril,,,,,{},,,Aventúrate en la montaña,,,,Excursión,5,96000,{},2026-11-02
57773,,78430,2026-03-20,532000,7,No disponible,-532,,,,,,,Secret Escapes,,,,{},,,{},,Motril,,,,,{},,,Relájate en la playa,,,,Tour,6,76000,{},2026-11-03
58310,Salida con Familia,78431,2025-04-29,792000,6,No disponible,792,srditobr888@viajes.cl,,,64,958,132000,HŽ (Croacia),2025-08-11,2025-08-11,,,{},,"{""Alcalá de Henares""}",,,,,,,{},,,,,,,,,,,
