correo_usuario,puntos,reserva_id,tipo_seguro,valor_seguro,clausula,empresa_seguro,estrellas,descripcion
Elsaolvera295@tourket.com,-5422,78425,,,,,,
Elsaolvera295@tourket.com,5422,78426,Seguro de Cancelación de Viaje,62000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Seguros Generales Suramericana S.A.,1,No vuelvo más
Elsaolvera295@tourket.com,5422,78427,Seguro de Cancelación de Viaje,7000,"Reembolso por cancelaciones laborales imprevistas, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Vida Cámara S.A.,,
Elsaolvera295@tourket.com,5422,78428,,,,,1,Muy insatisfecho
Gabrieladame361@outluc.com,6238,78433,,,,,90,Malo
,6238,78439,Seguro de Interrupción del Viaje,84000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",Consorcio Nacional de Seguros Vida S.A.,,
,-6238,78440,Seguro de Responsabilidad Civil,37000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",Seguros Generales Suramericana S.A.,58,Excelente
Sofiacazares811@wass.com,14685,78442,,,,,,
Carlotagómez998@marmol.com,12991,78450,Seguro de Responsabilidad Civil,36000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",MAPFRE Compañía de Seguros Generales de Chile S.A.,4,Bueno
Carlotagómez998@marmol.com,12991,78456,Seguro de Cancelación de Viaje,70000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Confuturo S.A.,1,
Carlotagómez998@marmol.com,,78457,,,,,2,Hubo varios problemas
manuel5440850@marmol.com,2122,78463,,,,,5,Muy satisfecho
Caridadballesteros263@wass.com,27712,78467,Seguro de Interrupción del Viaje,64000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Confuturo S.A.,,Regular
Caridadballesteros263@wass.com,27712,78470,,,,,1,Muy insatisfecho
Caridadballesteros263@wass.com,27712,78471,Seguro de Cancelación de Viaje,51000,"Cobertura de penalidades por cambio de vuelo, Cobertura por cancelaciones debido a desastres naturales o disturbios",MAPFRE Compañía de Seguros Generales de Chile S.A.,1,Malo
Caridadballesteros263@wass.com,27712,78474,Seguro de Interrupción del Viaje,61000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",Vida Cámara S.A.,1,Pésimo
vicente4309272@wass.com,1839,78492,Seguro por Demoras en el Viaje,93000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",Vida Cámara S.A.,3,Aceptable
vicente4309272@wass.com,1839,78493,,,,,,
antidu132@viajesanma.com,,78498,,,,,1,Malo
Maríalucero990@tourket.com,27927,78500,,,,,,
Maríalucero990@tourket.com,27927,78502,,,,,3,
Maríalucero990@tourket.com,27927,78503,,,,,47,Servicio regular
Maríalucero990@tourket.com,27927,78504,,,,,,
Maríalucero990@tourket.com,27927,78505,,,,,,
Gracielagarica981@edubus.cal,20821,78518,Seguro de Equipaje y Efectos Personales,28000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Liberty Compañía de Seguros Generales S.A.,2,No me convenció del todo
alreci801@tourket.com,10596,,,,,,1,Muy insatisfecho
alreci801@tourket.com,10596,78524,Seguro por Demoras en el Viaje,36000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.,,
alreci801@tourket.com,10596,78527,Seguro de Responsabilidad Civil,97000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",BICE Vida Compañía de Seguros S.A.,2,Regular
alreci801@tourket.com,10596,78528,,,,,,
Dianaméndez890@tourket.com,1938,78538,,,,,3,"Cumplió con mis expectativas, pero sin destacar"
Dianaméndez890@tourket.com,1938,78539,,,,,1,Muy insatisfecho
Dianaméndez890@tourket.com,1938,78541,,,,,,
alicia4034135@marmol.com,9390,78546,,,,,1,Pésimo
sttipimo925@marmol.com,10793,78551,,33000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Seguros Generales Suramericana S.A.,,Aceptable
sttipimo925@marmol.com,10793,78552,,,,,4,Me atendieron bien
sttipimo925@marmol.com,,78554,Seguro de Interrupción del Viaje,50000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",MetLife Chile Seguros de Vida S.A.,,
Mateorodríguez987@edubus.cal,1816,78560,Seguro por Demoras en el Viaje,73000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Consorcio Nacional de Seguros Vida S.A.,,
Mateorodríguez987@edubus.cal,1816,78561,,8000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",MetLife Chile Seguros de Vida S.A.,4,Bueno
lugodu208@marmol.com,22746,78563,,,,,,
pariul494@edubus.cal,4081,,Seguro de Cancelación de Viaje,21000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.,5,Muy satisfecho
pariul494@edubus.cal,-4081,78565,Seguro de Asistencia Médica,69000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",Renta Nacional Compañía de Seguros Generales S.A.,,No vuelvo más
sta.1276352@tourket.com,33918,78566,,,,,4,Me atendieron bien
sta.1276352@tourket.com,33918,78567,,,,,,
pacahe623@tourket.com,-15634,78574,Seguro por Demoras en el Viaje,55000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.,1,No vuelvo más
pacahe623@tourket.com,,78576,,11000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",Liberty Compañía de Seguros Generales S.A.,1,Malo
,23343,,Seguro de Cancelación de Viaje,23000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",MetLife Chile Seguros de Vida S.A.,,
srfearar146@outluc.com,23343,78582,Seguro de Responsabilidad Civil,24000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.,1,No vuelvo más
srfearar146@outluc.com,23343,78583,,,,,2,No lo recomendaría
srfearar146@outluc.com,,78584,Seguro de Responsabilidad Civil,26000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Vida Cámara S.A.,2,Hubo varios problemas
Analeyva920@marmol.com,7958,78586,Seguro por Demoras en el Viaje,,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.,,
Analeyva920@marmol.com,7958,78588,,,,,2,No lo recomendaría
Analeyva920@marmol.com,7958,78589,Seguro de Cancelación de Viaje,61000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",BICE Vida Compañía de Seguros S.A.,1,Pésimo
Analeyva920@marmol.com,7958,78590,Seguro de Equipaje y Efectos Personales,47000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.,1,Malo
Analeyva920@marmol.com,7958,78591,Seguro de Equipaje y Efectos Personales,48000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.,2,No me convenció del todo
Sr.sisneros799@edubus.cal,1623,78596,Seguro de Equipaje y Efectos Personales,,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Liberty Compañía de Seguros Generales S.A.,,
macoce113@wass.com,17114,78598,Seguro de Responsabilidad Civil,43000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Vida Cámara S.A.,3,
macoce113@wass.com,17114,78602,Seguro de Asistencia Médica,69000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",MAPFRE Compañía de Seguros Generales de Chile S.A.,1,Muy insatisfecho
bernardo5100979@wass.com,23737,78606,Seguro de Interrupción del Viaje,100000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",Renta Nacional Compañía de Seguros Generales S.A.,,
bernardo5100979@wass.com,23737,78607,Seguro de Responsabilidad Civil,40000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Renta Nacional Compañía de Seguros Generales S.A.,4,Bueno
bernardo5100979@wass.com,23737,78609,Seguro de Interrupción del Viaje,80000,,HDI Seguros S.A.,1,Pésimo
Yolandaarmendáriz156@tourket.com,,78615,Seguro de Responsabilidad Civil,42000,,Consorcio Nacional de Seguros Vida S.A.,5,Muy satisfecho
,6335,78616,,,,,5,Excelente
Yolandaarmendáriz156@tourket.com,6335,78618,,,,,5,Superó mis expectativas
marta4893200@wass.com,5724,78627,Seguro de Cancelación de Viaje,11000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",Renta Nacional Compañía de Seguros Generales S.A.,2,No me convenció del todo
marta4893200@wass.com,5724,78628,Seguro de Asistencia Médica,52000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",Seguros Generales Suramericana S.A.,3,"Cumplió con mis expectativas, pero sin destacar"
marta4893200@wass.com,5724,78632,Seguro por Demoras en el Viaje,,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",,1,Pésimo
sra.653511@viajesanma.com,16281,78639,,,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",HDI Seguros S.A.,2,Regular
sra.653511@viajesanma.com,16281,78645,,60000,"Indemnización por retraso en la entrega de equipaje, Cobertura por pérdida, robo o daño de equipaje",,,
Sra.nevárez254@edubus.cal,21480,78647,,,,,,
Clarasoria525@wass.com,15108,,,,,,4,Bueno
Clarasoria525@wass.com,15108,78656,Seguro de Cancelación de Viaje,23000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",HDI Seguros S.A.,2,No me convenció del todo
Clarasoria525@wass.com,15108,78660,Seguro de Equipaje y Efectos Personales,90000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Vida Cámara S.A.,5,Superó mis expectativas
lihuar761@wass.com,8823,78663,Seguro de Asistencia Médica,79000,"Evacuación y repatriación sanitaria, Cobertura de medicamentos recetados",HDI Seguros S.A.,,
lihuar761@wass.com,8823,78664,Seguro de Interrupción del Viaje,64000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Seguros Generales Suramericana S.A.,2,Hubo varios problemas
lihuar761@wass.com,8823,78667,,,,,1,Muy insatisfecho
lihuar761@wass.com,8823,78668,,,,,5,Excelente
marilu6685998@viajesanma.com,-12129,78671,,,,,4,Me atendieron bien
,,78674,,,,,1,Muy insatisfecho
marilu6685998@viajesanma.com,12129,78676,,,,,2,No lo recomendaría
,24100,78681,,,,,4,Bueno
Andreacotto787@edubus.cal,24100,78682,Seguro de Cancelación de Viaje,47000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Consorcio Nacional de Seguros Vida S.A.,98,Bueno
Andreacotto787@edubus.cal,24100,,Seguro de Equipaje y Efectos Personales,30000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Confuturo S.A.,5,Sin duda volveré
Andreacotto787@edubus.cal,24100,78686,Seguro de Cancelación de Viaje,42000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Reembolso por cancelaciones laborales imprevistas",Renta Nacional Compañía de Seguros Generales S.A.,2,Regular
guraza832@wass.com,2285,78696,,,,,5,
guraza832@wass.com,2285,78699,,,,,2,
,2285,78701,Seguro de Responsabilidad Civil,26000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",BICE Vida Compañía de Seguros S.A.,,
guraza832@wass.com,2285,78703,,,,,1,Malo
Lorenaarguello179@edubus.cal,12639,78709,,,,,1,Completamente decepcionado
Lorenaarguello179@edubus.cal,12639,78713,,,,,5,Sin duda volveré
Lorenaarguello179@edubus.cal,12639,78714,,,,,,
céalbe602@outluc.com,23868,78720,,,,,2,No lo recomendaría
céalbe602@outluc.com,23868,78723,,58000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.,1,Pésimo
céalbe602@outluc.com,-23868,78725,,,,,4,Buena experiencia en general
Joséterán661@wass.com,9315,,,,,,4,Me atendieron bien
Joséterán661@wass.com,9315,78730,Seguro de Equipaje y Efectos Personales,59000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.,1,No vuelvo más
aggóca712@viajesanma.com,3002,78738,,,,,,
aggóca712@viajesanma.com,3002,78739,Seguro por Demoras en el Viaje,60000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",,,
,3002,78741,,,,,,
aggóca712@viajesanma.com,3002,78743,,,,,,
aggóca712@viajesanma.com,3002,78744,,,,,2,No me convenció del todo
aggóca712@viajesanma.com,3002,78750,,20000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",Vida Cámara S.A.,3,Aceptable
aggóca712@viajesanma.com,3002,78751,Seguro de Asistencia Médica,52000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",Liberty Compañía de Seguros Generales S.A.,,
aggóca712@viajesanma.com,3002,78752,,45000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",MetLife Chile Seguros de Vida S.A.,,
joaquín1510981@marmol.com,7062,78756,,,,,1,Pésimo
mayte7853127@wass.com,14237,78760,,,,,,
daparí324@edubus.cal,9573,78766,Seguro por Demoras en el Viaje,81000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Consorcio Nacional de Seguros Vida S.A.,4,Buena experiencia en general
daparí324@edubus.cal,9573,78768,,,,,5,Servicio de primera
daparí324@edubus.cal,9573,78769,,,,,4,Bueno
daparí324@edubus.cal,9573,78771,,,,,,
glanbe559@tourket.com,7232,78779,Seguro de Asistencia Médica,42000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",HDI Seguros S.A.,,
glanbe559@tourket.com,-7232,78781,Seguro de Interrupción del Viaje,57000,"Compensación por imprevistos que obliguen a detener el viaje, Cobertura de costos adicionales por regreso anticipado",BICE Vida Compañía de Seguros S.A.,4,Me atendieron bien
,7232,78785,Seguro por Demoras en el Viaje,23000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.,2,
anmabarí968@tourket.com,5424,78790,,,,,,
,5424,78791,Seguro por Demoras en el Viaje,10000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",MetLife Chile Seguros de Vida S.A.,2,Regular
anmabarí968@tourket.com,5424,78792,Seguro de Responsabilidad Civil,34000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",,,
anmabarí968@tourket.com,5424,78795,,,,,4,Buena experiencia en general
vicente7532610@tourket.com,8044,78799,Seguro de Responsabilidad Civil,74000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Liberty Compañía de Seguros Generales S.A.,2,Regular
vicente7532610@tourket.com,8044,78803,,,,,4,Me atendieron bien
alfonso7804322@tourket.com,8248,78815,,,,,73,Aceptable
alfonso7804322@tourket.com,,78816,Seguro de Responsabilidad Civil,63000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Renta Nacional Compañía de Seguros Generales S.A.,4,"Satisfecho, pero hay detalles por mejorar"
alfonso7804322@tourket.com,8248,78818,Seguro de Cancelación de Viaje,,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",HDI Seguros S.A.,1,Malo
Sr.quezada287@outluc.com,24323,,Seguro de Equipaje y Efectos Personales,20000,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Renta Nacional Compañía de Seguros Generales S.A.,4,
Sr.quezada287@outluc.com,24323,78824,Seguro de Asistencia Médica,63000,"Cobertura de medicamentos recetados, Cobertura de gastos médicos por enfermedad o accidente",Renta Nacional Compañía de Seguros Generales S.A.,5,Servicio de primera
,24323,78826,Seguro de Asistencia Médica,50000,,Renta Nacional Compañía de Seguros Generales S.A.,,
Dianaregalado290@wass.com,17995,,,,,,5,Sin duda volveré
Amaliabarrientos651@viajesanma.com,-20124,78836,,,,,,
concepción7941327@tourket.com,24016,78837,,,,,4,
Aliciavelázquez168@tourket.com,4766,78838,Seguro por Demoras en el Viaje,32000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",HDI Seguros S.A.,5,Superó mis expectativas
daniel207325@outluc.com,49014,78843,,,,,4,"Satisfecho, pero hay detalles por mejorar"
gumebe955@tourket.com,733,78849,,,,,1,No vuelvo más
Patriciaesquibel311@tourket.com,,78855,Seguro de Responsabilidad Civil,44000,,BICE Vida Compañía de Seguros S.A.,,Podría mejorar
sr.3104119@tourket.com,9563,78861,,,,,5,Muy satisfecho
sr.3104119@tourket.com,9563,,Seguro por Demoras en el Viaje,6000,,BICE Vida Compañía de Seguros S.A.,3,Servicio regular
