id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,clase,escalas
107762,65379,2025-01-11,1386000,7,No disponible,1386,Albertoybarra929@viajes.cl,San Cristróbal de la Laguna,Gerona,61,303,198000,HŽ (Croacia),2025-02-17,2025-02-17,,{}
84396,61486,2025-05-28,304000,8,No disponible,304,Alejandraleyva742@viajes.cl,Puertollano,La Línea de la Concepción,43,152,38000,Socibus,2025-07-29,2025-07-29,,
146428,,,,,Disponible,0,Alfonsozarate453@viajes.cl,Hospitalet de LLobregat,El Puerto de Santa María,35,3363,114000,Futura,2026-10-30,,,{}
109400,59561,2025-06-29,480000,6,No disponible,480,Anamanzanares596@viajes.cl,Irún,Logroño,41,565,80000,Megabus,2025-11-10,2025-11-10,,{}
129197,61056,2026-05-08,148000,1,No disponible,148,Anatoro616@viajes.cl,Orihuela,Alcalá de Henares,,3116,148000,ETN Turistar,2026-09-22,2026-09-24,,{}
143558,57750,2025-11-23,390000,2,No disponible,390,Armandocarranza316@viajes.cl,Albacete,Inca,,927,195000,Pullman Bus,2026-04-10,2026-04-10,,{}
146508,,,,,Disponible,0,Bernardoarias154@viajes.cl,Cáceres,Murcia,36,3214,100000,Buses Nilahue,2025-05-15,,,{}
145015,,,,,Disponible,0,Blancagarica831@viajes.cl,Badajoz,Paterna,40,3609,198000,Buses Ahumada,2025-10-16,,,{}
117278,59333,2025-08-07,160000,5,No disponible,160,Carlosgollum406@viajes.cl,Fuengirola,Zamora,26,535,32000,NS International,2026-02-06,,,{}
83552,62440,2025-01-03,1270000,10,No disponible,1270,Carolinabaca615@viajes.cl,,Vigo,,2091,127000,ÖBB (Austria),2025-02-04,2025-02-05,,{}
145361,,,,,Disponible,0,Ceciliaflórez371@viajes.cl,Motril,Ceuta,42,3464,133000,El Rápido Internacional,2026-10-06,,,{}
90412,58814,2025-01-02,522000,6,No disponible,522,Danielpáez646@viajes.cl,Gijón,Granada,3,192,87000,ŽFBH (Bosnia y Herzegovina),2026-02-21,2026-02-21,,{}
148766,,,,,Disponible,0,Diegorosado418@viajes.cl,Cerdañola del Vallés,Santa Lucía de Tirajana,12,1675,120000,VR (Finlandia),2026-07-05,2026-09-12,,{}
119887,59735,2025-08-29,447000,3,No disponible,447,Doloresvanegas563@viajes.cl,Huelva,Baracaldo,37,1265,149000,Plusmar,2026-09-17,,,{}
94667,60531,2025-01-03,788000,4,No disponible,788,Emilioarreola638@viajes.cl,Manresa,Bilbao,37,2638,197000,Monbus,2025-01-07,2025-01-08,,
146412,,,,,Disponible,0,Ernestoalcaraz354@viajes.cl,Almería,Palma de Mallorca,47,239,27000,Turbus,2026-04-23,,,{}
122207,62013,2025-02-10,756000,6,No disponible,756,Esperanzaatencio335@viajes.cl,Cuenta,,40,1376,126000,Primera Plus,2025-09-11,2025-09-11,,{}
80178,59415,2025-08-22,805000,5,No disponible,805,Evaalejandro533@viajes.cl,Lorca,Santa Lucía de Tirajana,,2772,161000,EME Bus,2026-07-06,2026-07-07,,{}
112013,58457,2025-02-14,61000,1,No disponible,61,Evarendón524@viajes.cl,Mataró,Sagunto,33,3759,61000,FlixBus,2025-12-27,2025-12-29,,{}
144135,63012,2025-02-02,430000,5,No disponible,430,Federicogálvez952@viajes.cl,San Sebastían de los Reyes,Irún,44,3221,86000,JetSur,2025-07-21,2025-07-23,,{}
149226,,,,,Disponible,0,Feliperojo857@viajes.cl,,Madrid,1,1096,67000,Amtrak,2025-01-12,2025-02-26,,{}
91898,63206,2025-05-11,792000,8,No disponible,792,Felipesegovia888@viajes.cl,Puertollano,Santa Coloma de Gramanet,34,3245,99000,EME Bus,2025-05-26,2025-05-28,,
146134,,,,,Disponible,0,Gabrielahidalgo828@viajes.cl,Las Palmas de Gran Canaria,Santa Cruz de Tenerife,43,1632,88000,Via Bariloche,2026-01-18,,,{}
80376,58400,2025-04-21,224000,2,No disponible,224,Guillerminacerda636@viajes.cl,San Cristróbal de la Laguna,Manresa,76,1854,112000,RZD (Rusia),2025-12-08,2025-12-09,,{}
145192,,,,,Disponible,0,Guillerminaprado737@viajes.cl,Paterna,Málaga,34,3937,136000,Via Bariloche,2026-05-12,,,{}
149475,,,,,Disponible,0,Guillermoolivares662@viajes.cl,Alcoy,Gandía,14,1180,59000,NSB (Noruega),2026-07-10,2026-08-28,,{}
125480,66465,2025-04-03,2338000,7,No disponible,2338,Inésmejía800@viajes.cl,Salamanca,Tarragona,64,3118,334000,CFR (Rumania),2025-04-29,2025-05-01,,{}
105150,65145,2025-03-05,222000,3,No disponible,222,Josébañuelos691@viajes.cl,Manresa,San Fernando,32,562,74000,SBB (Suiza),2026-04-09,2026-04-09,,{}
145100,,,,,Disponible,0,Joséruiz932@viajes.cl,El Prat de LLobregat,Torremolinos,35,2673,193000,Megabus,2025-01-30,,,{}
127495,65518,2025-08-01,738000,6,No disponible,738,Juanorozco540@viajes.cl,Baracaldo,Santa Coloma de Gramanet,43,1184,123000,Primera Plus,2025-10-25,2025-10-25,,{}
107919,58449,2025-07-09,172000,2,No disponible,172,Juliapelayo134@viajes.cl,Santa Coloma de Gramanet,Manresa,32,2334,86000,,2025-07-31,2025-08-01,,{}
121519,59314,2026-01-24,1470000,10,No disponible,1470,Juliogarica923@viajes.cl,Alcorcón,Algeciras,,1393,147000,Andesmar,2026-10-10,2026-10-10,,{}
148933,,,,,Disponible,0,Leonorlira295@viajes.cl,Fuengirola,Pontevedra,91,3688,380000,ZSSK (Eslovaquia),2025-09-28,2026-02-28,,{}
131145,60933,2025-01-19,1805000,5,No disponible,1805,Luciacasillas408@viajes.cl,Torrelavega,Ferrol,30,2990,361000,Qatar Airways,2025-03-11,2025-03-13,,"{Córdoba,""Jerez de la Frontera"",Sagunto}"
78422,63299,2025-02-02,1064000,8,No disponible,1064,Magdalenacasanova305@viajes.cl,Santa Lucía de Tirajana,Alcalá de Guadaira,43,1102,133000,Via Bariloche,2026-08-29,2026-08-29,,{}
149128,,,,,Disponible,0,Marcosledesma340@viajes.cl,Las Palmas de Gran Canaria,Coslada,77,2296,237000,Eurostar,2026-05-05,2026-08-08,,{}
79973,65502,2025-05-09,1030000,10,No disponible,1030,Marcosmadera742@viajes.cl,Leganés,Benalmádena,93,2283,103000,Amtrak,2026-08-15,2026-08-16,,
146687,,,,,Disponible,0,Maricarmenbahena434@viajes.cl,Sanlúcar de Barrameda,Puertollano,30,3274,129000,Primera Plus,2026-10-05,,,{}
142456,65341,2026-06-23,264000,8,No disponible,264,Martínesquibel775@viajes.cl,Linares,Fuengirola,43,181,33000,Monbus,2026-07-03,2026-07-03,,{}
86885,65709,2025-07-27,950000,10,No disponible,950,Maríacarreón854@viajes.cl,Tarragona,Barcelona,41,398,95000,JetSur,2026-08-03,2026-08-03,,{}
148371,,,,,Disponible,0,Maríacastro464@viajes.cl,Torrejón de Ardoz,Logroño,94,2769,208000,Wizz Air,2025-08-08,2025-12-01,,{Huelva}
118521,59229,2026-09-12,752000,8,No disponible,752,Maríacavazos182@viajes.cl,Cádiz,Lugo,81,166,94000,United Airlines,2026-11-27,2026-11-27,,{}
93677,66319,2025-01-02,4482000,9,No disponible,4482,Maríaespinoza975@viajes.cl,Torremolinos,Jaén,63,4102,498000,SBB (Suiza),2025-02-16,2025-02-18,,{}
88336,65278,2025-02-21,740000,10,No disponible,740,Maríafeliciano394@viajes.cl,El Ejido,Viladecans,18,561,74000,Ethiopian Airlines,2025-11-12,2025-11-12,,{}
145064,,,,,Disponible,0,Maríamarroquín192@viajes.cl,,Getafe,31,1758,168000,Socibus,2025-10-07,,,{}
108943,60737,2026-01-24,83000,1,No disponible,83,Maríarendón440@viajes.cl,La Línea de la Concepción,Bilbao,44,1132,83000,ETN Turistar,2026-10-04,2026-10-04,,{}
85644,61912,2025-07-27,1060000,10,No disponible,1060,Mateocollado527@viajes.cl,Orense,Guadalajara,45,3813,106000,,2026-11-06,2026-11-08,,{}
120576,65042,2025-05-23,171000,3,No disponible,171,Mercedesgalindo223@viajes.cl,Santiago de Compostela,,46,1815,57000,Omnibus de México,2026-01-13,2026-01-14,,{}
89794,62411,2025-02-03,169000,1,No disponible,169,Mónicavalles477@viajes.cl,Collado Villalba,Mijas,49,1685,169000,Via Bariloche,2025-04-20,2025-04-21,,{}
114505,60837,2025-04-07,2051000,7,No disponible,2051,Octaviosanches648@viajes.cl,Zamora,Puertollano,88,2519,293000,,2025-10-18,2025-10-19,,{}
117865,66341,2025-03-26,1665000,9,No disponible,1665,Patriciaadame600@viajes.cl,Gerona,Avilés,40,4089,185000,Futura,2025-12-19,2025-12-21,,{}
114473,58163,2025-07-14,38000,2,No disponible,38,Patriciahuerta665@viajes.cl,Sagunto,Alcorcón,54,227,19000,NSB (Noruega),2026-11-30,2026-11-30,,{}
122229,58882,2025-04-03,126000,3,No disponible,126,Ramónjurado680@viajes.cl,Sanlúcar de Barrameda,Getafe,43,980,42000,DSB (Dinamarca),2026-02-12,2026-02-12,,{}
148438,,,,,Disponible,0,Ramónverduzco522@viajes.cl,El Prat de LLobregat,Cuenta,78,874,69000,EasyJet,2025-09-12,2025-10-18,,"{Baracaldo,Toledo,Palencia}"
145753,,,,,Disponible,0,Reinacollado243@viajes.cl,,Pontevedra,33,1867,80000,Chevallier,2025-12-27,,,{}
140532,59732,2025-01-28,882000,9,No disponible,882,Robertodomínquez641@viajes.cl,Coslada,Segovia,39,2898,98000,,2025-02-15,2025-02-17,,{}
101124,57126,2025-09-24,796000,4,No disponible,796,Santiagosolorzano537@viajes.cl,Ávila,Dos Hermanas,34,3825,199000,Primera Plus,2025-10-01,2025-10-03,,{}
146382,,,,,Disponible,0,Soniamonroy754@viajes.cl,Vigo,Palma de Mallorca,32,322,55000,Condor Bus,2025-01-27,,,{}
95469,61163,2025-09-16,283000,1,No disponible,283,Sr.carrera886@viajes.cl,Gandía,Santiago de Compostela,100,2341,283000,BDZ (Bulgaria),2025-11-16,2025-11-17,,{}
128476,61632,2025-04-25,2352000,7,No disponible,2352,Sr.ceja795@viajes.cl,Gijón,Rivas-Vaciamadrid,13,4169,336000,DSB (Dinamarca),2025-09-27,2025-09-29,,
113760,59656,2025-12-18,390000,6,No disponible,390,Sr.cornejo722@viajes.cl,Cáceres,Coslada,32,4064,65000,JetSur,2026-03-22,2026-03-24,,{}
149566,,,,,Disponible,0,Sr.soliz253@viajes.cl,Palencia,Leganés,43,3333,226000,Nederlandse Sp,2026-01-10,2026-05-28,,{}
