id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,comodidades,tipo_bus
143382,62487,2025-04-19,295000,5,No disponible,295,Albertoocasio669@viajes.cl,Viladecans,Reus,91,379,59000,JetBlue,2025-11-13,,{},
107762,65379,2025-01-11,1386000,7,No disponible,1386,Albertoybarra929@viajes.cl,San Cristróbal de la Laguna,Gerona,61,303,198000,HŽ (Croacia),2025-02-17,2025-02-17,{},
140230,57950,2025-07-09,258000,6,No disponible,258,Alejandramurillo755@viajes.cl,Huelva,Viladecans,53,1388,43000,Spirit Airlines,2025-09-03,2025-09-03,{},
88354,57771,2025-01-26,490000,5,No disponible,490,Alejandroserrato929@viajes.cl,Salamanca,Lérida,72,2657,98000,ZFBH (Bosnia y Herzegovina),2025-06-14,2025-06-15,"{Agua,TV,Comida,Wifi,""Aire acondicionado""}",
136955,60555,2025-06-03,86000,2,No disponible,86,Anarivero619@viajes.cl,Móstoles,León,53,1415,43000,Amtrak,2026-11-24,2026-11-24,"{Calefacción,Baño,""Asientos reclinables""}",
147637,,,,,Disponible,0,Andreagriego524@viajes.cl,Albacete,Gandía,60,3982,408000,Vueling,2026-07-28,2027-01-09,{},
117933,64156,2025-01-07,819000,7,No disponible,819,Andreatrujillo333@viajes.cl,Sabadell,Collado Villalba,27,452,117000,ÖBB (Austria),2025-05-07,,{},
147811,,,,,Disponible,0,Anitallamas291@viajes.cl,Cerdañola del Vallés,Cáceres,21,1383,42000,Copa Airlines,2026-07-18,2026-09-13,{},
148828,,,,,Disponible,0,Benitocardona170@viajes.cl,Fuenlabrada,,81,2649,145000,SBB (Suiza),2026-09-26,2027-01-14,"{Baño,Calefacción,TV,Wifi,""Aire acondicionado""}",
91619,66121,2025-04-30,102000,1,No disponible,102,Benitoterán216@viajes.cl,Palma de Mallorca,Cartagena,62,1882,102000,ZSSK (Eslovaquia),2025-06-08,2025-06-09,"{Comida,TV,Baño,""Asientos reclinables""}",
147766,,,,,Disponible,0,Benjamínjiménez670@viajes.cl,Lugo,Cuenta,80,1272,36000,American Airlines,2025-09-10,2025-11-02,{},
131810,55777,2025-09-30,488000,4,No disponible,488,Benjamínsisneros202@viajes.cl,Palencia,Pamplona,16,2036,122000,ZFBH (Bosnia y Herzegovina),2025-10-04,,"{""Aire acondicionado"",TV,Agua,Comida}",
113994,62047,2025-08-06,35000,1,No disponible,35,Bernardoelizondo645@viajes.cl,,Cartagena,21,310,35000,CP (Portugal),2025-08-11,2025-08-11,{},
80793,61651,2025-05-07,420000,10,No disponible,420,Carlosabeyta963@viajes.cl,Ávila,Albacete,41,1108,42000,NS International,2025-12-15,2025-12-15,"{Baño,TV,""Asientos reclinables""}",
136112,66440,2025-01-29,714000,6,No disponible,714,Carlosfierro146@viajes.cl,Sevilla,Viladecans,59,1029,119000,Qantas,2025-02-21,2025-02-21,{},
103144,63675,2025-03-29,864000,8,No disponible,864,Carlosrosales796@viajes.cl,Alcalá de Guadaira,Linares,98,1973,108000,ŽFBH (Bosnia y Herzegovina),2025-12-30,2025-12-31,"{Comida,Calefacción,Baño,Wifi}",
83552,62440,2025-01-03,1270000,10,No disponible,1270,Carolinabaca615@viajes.cl,,Vigo,,2091,127000,ÖBB (Austria),2025-02-04,2025-02-05,"{Agua,TV,""Asientos reclinables"",Wifi}",
118907,62189,2025-04-04,2259000,9,No disponible,2259,Catalinavarela631@viajes.cl,Tarragona,Gandía,91,3307,251000,RZD (Rusia),2025-12-23,2025-12-25,"{Comida,""Aire acondicionado"",""Asientos reclinables"",Agua,TV,Calefacción}",
148158,,,,,Disponible,0,Claudiocantú636@viajes.cl,Rubí,Ferrol,58,1691,75000,Vueling,2026-09-03,2026-11-12,{},
149894,,,,,Disponible,0,Clementedelacrúz671@viajes.cl,Majadahonda,Zamora,67,2314,191000,NSB (Noruega),2026-02-21,2026-05-28,"{Calefacción,Agua,Baño,""Aire acondicionado"",Comida}",
128318,58605,2025-02-02,272000,4,No disponible,272,Cristinatijerina877@viajes.cl,Fuengirola,Parla,14,2028,68000,,2026-08-14,2026-08-15,{},
143695,63911,2025-05-01,1880000,8,No disponible,1880,Danielavillalpando367@viajes.cl,Majadahonda,Cartagena,73,2314,235000,PKP (Polonia),2025-12-12,2025-12-13,"{Agua,Comida,Calefacción,Wifi,TV}",
149303,,,,,Disponible,0,Dianamontero898@viajes.cl,Pamplona,Arrecife,1,3582,309000,Amtrak,2025-07-04,2025-11-30,"{""Asientos reclinables"",TV,Wifi,Baño,Comida,""Aire acondicionado""}",
148766,,,,,Disponible,0,Diegorosado418@viajes.cl,Cerdañola del Vallés,Santa Lucía de Tirajana,12,1675,120000,VR (Finlandia),2026-07-05,2026-09-12,"{Agua,""Asientos reclinables"",Baño,Comida}",
128241,55938,2025-04-15,1816000,8,No disponible,1816,Doloresroybal738@viajes.cl,Cuenta,Palma de Mallorca,86,2317,227000,Alaska Airlines,2026-02-16,2026-02-17,{},
124116,60975,2025-02-03,120000,2,No disponible,120,Doroteabétancourt155@viajes.cl,Mataró,Sagunto,,3095,60000,Turbus,2025-02-08,,"{Wifi,""Asientos reclinables"",Comida}",
143795,63212,2025-07-14,1323000,9,No disponible,1323,Elisarubio933@viajes.cl,Valdemoro,Irún,67,3407,147000,Qatar Airways,2025-10-22,2025-10-24,{},
150073,,,,,Disponible,0,Elsanájera336@viajes.cl,Gandía,,70,3908,180000,Renfe,2025-12-08,2026-05-19,"{TV,""Aire acondicionado"",Comida,Agua,Baño,Calefacción,Wifi}",
147297,,,,,Disponible,0,Elviraiglesias305@viajes.cl,La Coruña,Alcalá de Guadaira,41,4096,218000,Frontier Airlines,2026-10-18,2027-04-06,{},
148174,,,,,Disponible,0,Estelareyna597@viajes.cl,Mérida,Mollet del Vallés,49,3353,353000,EasyJet,2025-12-17,2026-05-05,{},
79276,59783,2025-03-09,502000,2,No disponible,502,Estelavelázquez978@viajes.cl,Palma de Mallorca,Baracaldo,,3817,251000,ŽSSK (Eslovaquia),2025-03-15,2025-03-17,"{Wifi,TV,Comida,""Aire acondicionado"",Baño,Calefacción,Agua}",
147978,,,,,Disponible,0,Evanavarrete220@viajes.cl,San Cristróbal de la Laguna,Ávila,49,1294,131000,Spirit Airlines,2025-09-20,2025-11-12,{},
149226,,,,,Disponible,0,Feliperojo857@viajes.cl,,Madrid,1,1096,67000,Amtrak,2025-01-12,2025-02-26,"{""Aire acondicionado"",Calefacción,Wifi}",
89158,66529,2025-12-16,868000,7,No disponible,868,Fernandolomeli208@viajes.cl,Manresa,Santa Cruz de Tenerife,25,2774,124000,Delta Air Lines,2026-11-17,2026-11-18,{},
102039,60097,2025-01-30,180000,5,No disponible,180,Fernandomuñoz208@viajes.cl,Sagunto,,,1280,36000,AVE,2025-05-30,2025-05-30,"{Baño,Calefacción,Comida}",
111755,55573,2026-06-05,160000,2,No disponible,160,Franciscaabeyta645@viajes.cl,Ávila,Las Palmas de Gran Canaria,,1985,80000,RZD (Rusia),2026-11-27,2026-11-28,"{TV,Agua,Baño,Calefacción}",
109212,60566,2025-07-31,2712000,8,No disponible,2712,Franciscamontalvo506@viajes.cl,Santa Lucía de Tirajana,Castellón de la Plana,50,3836,339000,Southwest Airlines,2026-04-15,2026-04-17,{},
121214,61920,2025-03-13,1190000,5,No disponible,1190,Franciscoalba215@viajes.cl,Alcalá de Guadaira,La Línea de la Concepción,50,4105,238000,Iberia,2025-07-05,,{},
148817,,,,,Disponible,0,Gilbertoramón421@viajes.cl,Orense,Santiago de Compostela,76,4319,229000,Nederlandse Sp,2026-07-31,2027-01-26,"{Calefacción,""Asientos reclinables"",TV,Comida,Agua,Baño,""Aire acondicionado""}",
147664,,,,,Disponible,0,Gonzalocervántez728@viajes.cl,Lugo,Pamplona,56,1621,109000,Air France,2025-05-06,2025-07-12,{},
148319,,,,,Disponible,0,Gregorioverdugo611@viajes.cl,Sanlúcar de Barrameda,Lorca,1,725,50000,Singapore Airlines,2025-03-19,2025-04-18,{},
80376,58400,2025-04-21,224000,2,No disponible,224,Guillerminacerda636@viajes.cl,San Cristróbal de la Laguna,Manresa,76,1854,112000,RZD (Rusia),2025-12-08,2025-12-09,"{Agua,TV,""Aire acondicionado"",""Asientos reclinables""}",
149475,,,,,Disponible,0,Guillermoolivares662@viajes.cl,Alcoy,Gandía,14,1180,59000,NSB (Noruega),2026-07-10,2026-08-28,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
143299,66550,2025-04-13,1930000,10,No disponible,1930,Homerocolunga322@viajes.cl,Palma de Mallorca,Getafe,76,2403,193000,RZD (Rusia),2025-09-21,2025-09-22,"{Comida,Baño,""Aire acondicionado"",""Asientos reclinables"",Calefacción}",
128048,61706,2025-01-06,116000,1,No disponible,116,Horaciolucio884@viajes.cl,Irún,Santander,19,2400,116000,KLM,2025-09-20,,{},
92445,55707,2025-01-21,392000,2,No disponible,392,Hugoleyva186@viajes.cl,Manresa,Gijón,80,1586,196000,Wizz Air,2025-07-09,2025-07-10,{},
116726,66434,2025-04-22,1272000,8,No disponible,1272,Ignacioholguín519@viajes.cl,Sevilla,Ciudad Real,,2089,159000,Wizz Air,2025-06-29,2025-06-30,{},
150054,,,,,Disponible,0,Jacobodelgadillo820@viajes.cl,Cuenta,Dos Hermanas,9,592,192000,SBB (Suiza),2025-01-16,2025-02-09,"{Calefacción,Baño,""Asientos reclinables""}",
93518,59538,2025-05-02,1085000,5,No disponible,1085,Javiergodínez122@viajes.cl,Torrejón de Ardoz,Rubí,13,2240,217000,ŽSSK (Eslovaquia),2025-08-26,2025-08-27,"{Wifi,Agua,TV,""Asientos reclinables"",Baño}",
148641,,,,,Disponible,0,Javiermateo256@viajes.cl,Alcalá de Henares,,70,3651,451000,Italo,2025-07-25,2025-12-24,"{Comida,Baño,Wifi,""Aire acondicionado"",Agua,TV,""Asientos reclinables""}",
116295,57201,2025-02-21,2016000,7,No disponible,2016,Javiernieves797@viajes.cl,Mérida,Castellón de la Plana,69,2667,288000,Ryanair,2025-05-12,2025-05-13,{},
79514,65191,2026-04-09,966000,6,No disponible,966,Jesúsayala953@viajes.cl,Mollet del Vallés,Estepona,10,1747,161000,CD (República Checa),2026-06-06,2026-06-07,"{Comida,Agua,""Asientos reclinables"",""Aire acondicionado""}",
121105,56357,2025-01-31,2410000,10,No disponible,2410,Joaquíndelatorre512@viajes.cl,Cuenta,Gijón,92,2600,241000,AVE,2025-02-17,2025-02-18,"{Calefacción,Baño,Wifi,Comida,""Asientos reclinables""}",
147094,,,,,Disponible,0,Josefinapichardo787@viajes.cl,Molina de Segura,Algeciras,54,473,175000,British Airways,2025-02-14,,,
105150,65145,2025-03-05,222000,3,No disponible,222,Josébañuelos691@viajes.cl,Manresa,San Fernando,32,562,74000,SBB (Suiza),2026-04-09,2026-04-09,{},
149024,,,,,Disponible,0,Juliaruelas849@viajes.cl,Arrecife,Sanlúcar de Barrameda,96,149,87000,Thalys,2025-07-02,2025-07-08,"{Wifi,TV,""Aire acondicionado""}",
148933,,,,,Disponible,0,Leonorlira295@viajes.cl,Fuengirola,Pontevedra,91,3688,380000,ZSSK (Eslovaquia),2025-09-28,2026-02-28,"{Wifi,Baño,""Aire acondicionado"",TV,Calefacción,Agua,Comida}",
92301,62209,2025-02-04,1990000,10,No disponible,1990,Leticiadelarosa551@viajes.cl,Almería,Mollet del Vallés,77,2012,199000,AVE,2026-01-01,2026-01-02,"{Comida,TV,Agua,Baño}",
97781,59825,2025-04-22,2088000,9,No disponible,2088,Lorenzoiglesias999@viajes.cl,Elda,Cerdañola del Vallés,,3161,232000,Air New Zealand,2025-11-12,2025-11-14,{},
148353,,,,,Disponible,0,Luciabañuelos420@viajes.cl,Zaragoza,Torrelavega,92,1699,110000,Delta Air Lines,2025-02-16,2025-04-27,{},
131145,60933,2025-01-19,1805000,5,No disponible,1805,Luciacasillas408@viajes.cl,Torrelavega,Ferrol,30,2990,361000,Qatar Airways,2025-03-11,2025-03-13,{},
101285,65931,2025-01-19,119000,1,No disponible,119,Luisasoliz819@viajes.cl,Collado Villalba,Madrid,44,2042,119000,United Airlines,2025-04-11,2025-04-12,{},
109222,61708,2025-02-15,2120000,5,No disponible,2120,Luisayala555@viajes.cl,Orihuela,Santa Coloma de Gramanet,85,3676,424000,,2025-04-01,2025-04-03,{},
126875,59078,2025-11-13,282000,1,No disponible,282,Magdalenabrito986@viajes.cl,Cartagena,Fuenlabrada,49,3578,282000,ŽFBH (Bosnia y Herzegovina),2026-07-04,2026-07-06,"{Calefacción,Agua,""Asientos reclinables"",Comida,TV,""Aire acondicionado""}",
