panorama_id,nombre,edad
80679,Pilar Llamas Franco,45
82762,Julia Armas Paz,16
87799,Sonia Ávila Sedillo,50
91686,Sara Roque Cruz,56
102829,Juana Muro Puga,96
102879,Sara Raya Vaca,48
103826,Luz Gil Dueñas,-16
104988,,47
106989,Juan Tello Muro,-11
111979,Ana Arroyo Loya,67
113226,Ana Vela Brito,18
116887,Luz Avilés Paz,41
127412,Lola Ybarra Gil,38
128001,David Olivárez Quezada,65
129082,Elsa Gil Gaona,31
132989,Gonzalo Paz Ledesma,7
137584,Luis Viera Mora,99
140541,Adela Vergara Mateo,86
142435,Sta. Eva Bustos Olivo,40
78416,Juan Pérez,59
78416,Sonia Rentería Reynoso,11
78416,Cecilia Delatorre Girón,56
78416,Patricia Galván Abeyta,22
78416,Sara Alfaro Vaca,68
78416,Sra. Patricio Lucio Sotelo,27
78416,,34
78416,Sra. Lorenzo Amaya Quezada,57
78416,Sra. Adriana Cazares Moya,77
78417,Ramiro Ortega Hernández,
78427,Ramiro Hinojosa Araña,
78429,Sra. Catalina Berríos Martínez,17
78429,Fernando Feliciano Alva,85
78429,Sra. Hernán Carrillo Guillen,102
78429,Lorena Solano Saucedo,48
78429,Salvador Deleón Escobar,62
78429,Sr. Pilar Espinosa Briseño,52
78429,Luisa Ortega Mena,55
78430,Federico Valencia Treviño,95
78430,Alberto Gallardo Barela,89
78430,María Elena Casanova Águilar,78
78430,Jerónimo Duran Delatorre,45
78430,Leticia Rosales Gil,49
78430,Clemente Zepeda Nieto,
78433,María Gracia Leal,8
78433,,28
78433,Ramiro Anaya Otero,61
78433,Blanca Lerma Santana,103
78433,Mercedes Alonzo Hinojosa,
78433,Manuela Corrales Arreola,65
78434,Débora Carrero Vallejo,7
78434,José Luis Cadena Salas,-28
78434,Magdalena Cabán Medrano,103
78434,Rafael Villaseñor Saiz,91
78434,Claudia Cervantes Quesada,61
78434,José María Serna Chapa,17
,,47
78435,Sta. Víctor Rolón Zambrano,94
78435,Alicia Gaona Olivo,22
78435,Marisol Páez Vergara,91
