correo_usuario,reserva_id,estrellas,descripcion
Elsaolvera295@tourket.com,78425,,
Elsaolvera295@tourket.com,78427,,
Gabrieladame361@outluc.com,78433,90,Malo
,78439,,
,78440,58,Excelente
Sofiacazares811@wass.com,78442,,
Carlotagómez998@marmol.com,78450,4,Bueno
Carlotagómez998@marmol.com,78456,1,
Caridadballesteros263@wass.com,78467,,Regular
vicente4309272@wass.com,78493,,
Maríalucero990@tourket.com,78500,,
Maríalucero990@tourket.com,78502,3,
Maríalucero990@tourket.com,78503,47,Servicio regular
Maríalucero990@tourket.com,78504,,
Maríalucero990@tourket.com,78505,,
Gracielagarica981@edubus.cal,78518,2,No me convenció del todo
alreci801@tourket.com,78524,,
alreci801@tourket.com,78528,,
Dianaméndez890@tourket.com,78539,1,Muy insatisfecho
Dianaméndez890@tourket.com,78541,,
alicia4034135@marmol.com,78546,1,Pésimo
sttipimo925@marmol.com,78551,,Aceptable
sttipimo925@marmol.com,78552,4,Me atendieron bien
sttipimo925@marmol.com,78554,,
Mateorodríguez987@edubus.cal,78560,,
lugodu208@marmol.com,78563,,
pariul494@edubus.cal,,5,Muy satisfecho
pariul494@edubus.cal,78565,,No vuelvo más
sta.1276352@tourket.com,78567,,
,,,
srfearar146@outluc.com,78582,1,No vuelvo más
srfearar146@outluc.com,78583,2,No lo recomendaría
céalbe602@outluc.com,78725,4,Buena experiencia en general
srfearar146@outluc.com,78584,2,Hubo varios problemas
Analeyva920@marmol.com,78586,,
Analeyva920@marmol.com,78588,2,No lo recomendaría
Analeyva920@marmol.com,78589,1,Pésimo
Analeyva920@marmol.com,78590,1,Malo
Analeyva920@marmol.com,78591,2,No me convenció del todo
Sr.sisneros799@edubus.cal,78596,,
macoce113@wass.com,78598,3,
macoce113@wass.com,78602,1,Muy insatisfecho
bernardo5100979@wass.com,78606,,
bernardo5100979@wass.com,78609,1,Pésimo
,78616,5,Excelente
marta4893200@wass.com,78628,3,"Cumplió con mis expectativas, pero sin destacar"
marta4893200@wass.com,78632,1,Pésimo
sra.653511@viajesanma.com,78645,,
Sra.nevárez254@edubus.cal,78647,,
lihuar761@wass.com,78663,,
lihuar761@wass.com,78668,5,Excelente
marilu6685998@viajesanma.com,78671,4,Me atendieron bien
,78674,1,Muy insatisfecho
marilu6685998@viajesanma.com,78676,2,No lo recomendaría
,78681,4,Bueno
Andreacotto787@edubus.cal,78682,98,Bueno
Andreacotto787@edubus.cal,,5,Sin duda volveré
Andreacotto787@edubus.cal,78686,2,Regular
guraza832@wass.com,78696,5,
guraza832@wass.com,78699,2,
,78701,,
guraza832@wass.com,78703,1,Malo
Lorenaarguello179@edubus.cal,78713,5,Sin duda volveré
Lorenaarguello179@edubus.cal,78714,,
céalbe602@outluc.com,78720,2,No lo recomendaría
céalbe602@outluc.com,78723,1,Pésimo
aggóca712@viajesanma.com,78738,,
aggóca712@viajesanma.com,78739,,
