correo_usuario,reserva_id,tipo_seguro,valor_seguro,clausula,empresa_seguro
Elsaolvera295@tourket.com,78425,,,,
Elsaolvera295@tourket.com,78428,,,,
Gabrieladame361@outluc.com,78433,,,,
,78439,Seguro de Interrupción del Viaje,84000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",Consorcio Nacional de Seguros Vida S.A.
,78440,Seguro de Responsabilidad Civil,37000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",Seguros Generales Suramericana S.A.
Sofiacazares811@wass.com,78442,,,,
Carlotagómez998@marmol.com,78450,Seguro de Responsabilidad Civil,36000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",MAPFRE Compañía de Seguros Generales de Chile S.A.
Carlotagómez998@marmol.com,78456,Seguro de Cancelación de Viaje,70000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Confuturo S.A.
Carlotagómez998@marmol.com,78457,,,,
manuel5440850@marmol.com,78463,,,,
Caridadballesteros263@wass.com,78470,,,,
vicente4309272@wass.com,78493,,,,
antidu132@viajesanma.com,78498,,,,
Maríalucero990@tourket.com,78500,,,,
Maríalucero990@tourket.com,78502,,,,
Maríalucero990@tourket.com,78503,,,,
Maríalucero990@tourket.com,78504,,,,
Maríalucero990@tourket.com,78505,,,,
Gracielagarica981@edubus.cal,78518,Seguro de Equipaje y Efectos Personales,28000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Liberty Compañía de Seguros Generales S.A.
alreci801@tourket.com,,,,,
alreci801@tourket.com,78528,,,,
Dianaméndez890@tourket.com,78538,,,,
Dianaméndez890@tourket.com,78539,,,,
Dianaméndez890@tourket.com,78541,,,,
alicia4034135@marmol.com,78546,,,,
sttipimo925@marmol.com,78551,,33000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Seguros Generales Suramericana S.A.
sttipimo925@marmol.com,78552,,,,
sttipimo925@marmol.com,78554,Seguro de Interrupción del Viaje,50000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",MetLife Chile Seguros de Vida S.A.
Mateorodríguez987@edubus.cal,78561,,8000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",MetLife Chile Seguros de Vida S.A.
lugodu208@marmol.com,78563,,,,
pariul494@edubus.cal,,Seguro de Cancelación de Viaje,21000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.
pariul494@edubus.cal,78565,Seguro de Asistencia Médica,69000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",Renta Nacional Compañía de Seguros Generales S.A.
sta.1276352@tourket.com,78566,,,,
sta.1276352@tourket.com,78567,,,,
pacahe623@tourket.com,78576,,11000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",Liberty Compañía de Seguros Generales S.A.
,,Seguro de Cancelación de Viaje,23000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",MetLife Chile Seguros de Vida S.A.
srfearar146@outluc.com,78582,Seguro de Responsabilidad Civil,24000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.
srfearar146@outluc.com,78583,,,,
céalbe602@outluc.com,78725,,,,
srfearar146@outluc.com,78584,Seguro de Responsabilidad Civil,26000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Vida Cámara S.A.
Analeyva920@marmol.com,78586,Seguro por Demoras en el Viaje,,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",BICE Vida Compañía de Seguros S.A.
Analeyva920@marmol.com,78588,,,,
Analeyva920@marmol.com,78589,Seguro de Cancelación de Viaje,61000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",BICE Vida Compañía de Seguros S.A.
Analeyva920@marmol.com,78590,Seguro de Equipaje y Efectos Personales,47000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.
Analeyva920@marmol.com,78591,Seguro de Equipaje y Efectos Personales,48000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.
Sr.sisneros799@edubus.cal,78596,Seguro de Equipaje y Efectos Personales,,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Liberty Compañía de Seguros Generales S.A.
macoce113@wass.com,78598,Seguro de Responsabilidad Civil,43000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Vida Cámara S.A.
macoce113@wass.com,78602,Seguro de Asistencia Médica,69000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",MAPFRE Compañía de Seguros Generales de Chile S.A.
bernardo5100979@wass.com,78609,Seguro de Interrupción del Viaje,80000,,HDI Seguros S.A.
Yolandaarmendáriz156@tourket.com,78615,Seguro de Responsabilidad Civil,42000,,Consorcio Nacional de Seguros Vida S.A.
,78616,,,,
Yolandaarmendáriz156@tourket.com,78618,,,,
marta4893200@wass.com,78628,Seguro de Asistencia Médica,52000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",Seguros Generales Suramericana S.A.
marta4893200@wass.com,78632,Seguro por Demoras en el Viaje,,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",
sra.653511@viajesanma.com,78639,,,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",HDI Seguros S.A.
sra.653511@viajesanma.com,78645,,60000,"Indemnización por retraso en la entrega de equipaje, Cobertura por pérdida, robo o daño de equipaje",
Sra.nevárez254@edubus.cal,78647,,,,
Clarasoria525@wass.com,,,,,
lihuar761@wass.com,78663,Seguro de Asistencia Médica,79000,"Evacuación y repatriación sanitaria, Cobertura de medicamentos recetados",HDI Seguros S.A.
lihuar761@wass.com,78667,,,,
,116983,,,,
lihuar761@wass.com,78668,,,,
marilu6685998@viajesanma.com,78671,,,,
,78674,,,,
marilu6685998@viajesanma.com,78676,,,,
,78681,,,,
Andreacotto787@edubus.cal,78682,Seguro de Cancelación de Viaje,47000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Consorcio Nacional de Seguros Vida S.A.
Andreacotto787@edubus.cal,,Seguro de Equipaje y Efectos Personales,30000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Confuturo S.A.
Andreacotto787@edubus.cal,78686,Seguro de Cancelación de Viaje,42000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Reembolso por cancelaciones laborales imprevistas",Renta Nacional Compañía de Seguros Generales S.A.
guraza832@wass.com,78696,,,,
guraza832@wass.com,78699,,,,
,78701,Seguro de Responsabilidad Civil,26000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",BICE Vida Compañía de Seguros S.A.
