id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,comodidades,paradas
136112,66440,2025-01-29,714000,6,No disponible,714,Carlosfierro146@viajes.cl,Sevilla,Viladecans,59,1029,119000,Qantas,2025-02-21,2025-02-21,{},
145361,,,,,Disponible,0,Ceciliaflórez371@viajes.cl,Motril,Ceuta,42,3464,133000,El Rápido Internacional,2026-10-06,,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",
86511,62779,2026-02-05,318000,1,No disponible,318,Concepciónhidalgo107@viajes.cl,El Prat de LLobregat,El Prat de LLobregat,54,3563,318000,SNCB (Bélgica),2026-04-19,2026-04-21,,
148766,,,,,Disponible,0,Diegorosado418@viajes.cl,Cerdañola del Vallés,Santa Lucía de Tirajana,12,1675,120000,VR (Finlandia),2026-07-05,2026-09-12,"{Agua,""Asientos reclinables"",Baño,Comida}",
119887,59735,2025-08-29,447000,3,No disponible,447,Doloresvanegas563@viajes.cl,Huelva,Baracaldo,37,1265,149000,Plusmar,2026-09-17,,"{""Aire acondicionado"",Wifi,Calefacción}",
146983,,,,,Disponible,0,Elenamontemayor792@viajes.cl,Rubí,Puertollano,7,1748,196000,American Airlines,2025-11-26,2026-02-06,{},
148717,,,,,Disponible,0,Estermares578@viajes.cl,El Puerto de Santa María,Paterna,57,3149,376000,Deutsche Bahn (DB),2025-06-26,2025-11-04,"{Baño,Agua,""Asientos reclinables"",Calefacción,TV,Wifi}",
89158,66529,2025-12-16,868000,7,No disponible,868,Fernandolomeli208@viajes.cl,Manresa,Santa Cruz de Tenerife,25,2774,124000,Delta Air Lines,2026-11-17,2026-11-18,{},
121214,61920,2025-03-13,1190000,5,No disponible,1190,Franciscoalba215@viajes.cl,Alcalá de Guadaira,La Línea de la Concepción,50,4105,238000,Iberia,2025-07-05,,{},
146353,,,,,Disponible,0,Gracielachacón334@viajes.cl,Granollers,Parla,46,4013,65000,Chevallier,2025-03-31,,"{""Asientos reclinables"",Wifi,TV}",
85323,56125,2025-02-15,385000,5,No disponible,385,Gregorionieto138@viajes.cl,San Sebastián,Valladolid,6,1178,77000,All Nippon Airways (ANA),2025-05-07,2025-05-07,{},
145192,,,,,Disponible,0,Guillerminaprado737@viajes.cl,Paterna,Málaga,34,3937,136000,Via Bariloche,2026-05-12,,"{TV,""Asientos reclinables"",Agua}",
88083,58740,2026-01-10,540000,10,No disponible,540,Jerónimolara380@viajes.cl,Gandía,Zaragoza,48,3178,54000,Alsa,2026-07-02,2026-07-04,"{Agua,""Asientos reclinables"",Comida}",
149024,,,,,Disponible,0,Juliaruelas849@viajes.cl,Arrecife,Sanlúcar de Barrameda,96,149,87000,Thalys,2025-07-02,2025-07-08,"{Wifi,TV,""Aire acondicionado""}",
114558,62289,2026-08-05,644000,4,No disponible,644,Julioprieto485@viajes.cl,Gerona,Badalona,42,1792,161000,Condor Bus,2026-11-11,2026-11-12,"{Baño,Agua,Comida}",
97137,57982,2025-04-23,1557000,9,No disponible,1557,Luisasalazar159@viajes.cl,Guadalajara,Alcorcón,33,1011,173000,,2026-09-25,2026-09-25,"{Comida,TV,""Aire acondicionado""}",
109222,61708,2025-02-15,2120000,5,No disponible,2120,Luisayala555@viajes.cl,Orihuela,Santa Coloma de Gramanet,85,3676,424000,,2025-04-01,2025-04-03,{},
114505,60837,2025-04-07,2051000,7,No disponible,2051,Octaviosanches648@viajes.cl,Zamora,Puertollano,88,2519,293000,,2025-10-18,2025-10-19,"{""Aire acondicionado"",TV,Comida,Baño,Wifi}",
94419,62052,2026-05-05,920000,8,No disponible,920,Raúlcorrales716@viajes.cl,Oviedo,San Cristróbal de la Laguna,45,2583,115000,Turbus,2026-08-12,2026-08-13,"{Comida,Calefacción,Agua}",
117635,59163,2025-02-01,3105000,9,No disponible,3105,Robertosandoval817@viajes.cl,El Ejido,Móstoles,4,3619,345000,Lufthansa,2025-03-27,2025-03-29,{},
133404,58839,2025-01-15,320000,10,No disponible,320,Rosariodíaz538@viajes.cl,Castellón de la Plana,Gerona,84,172,32000,Lufthansa,2026-10-06,2026-10-06,{},
113760,59656,2025-12-18,390000,6,No disponible,390,Sr.cornejo722@viajes.cl,Cáceres,Coslada,32,4064,65000,JetSur,2026-03-22,2026-03-24,"{Baño,""Aire acondicionado"",Agua}",
133324,61233,2025-08-12,392000,2,No disponible,392,Sra.porras732@viajes.cl,Sanlúcar de Barrameda,,43,2795,196000,Turbus,2026-09-01,2026-09-02,"{Baño,""Aire acondicionado"",""Asientos reclinables""}",
142684,62049,2025-03-11,300000,6,No disponible,300,Timoteolara285@viajes.cl,León,Cornellá de Llobregat,45,1803,50000,Alsa,2026-11-01,2026-11-02,"{""Asientos reclinables"",Wifi,Comida}",
123615,57720,2025-01-17,195000,3,No disponible,195,Vicenteangulo491@viajes.cl,Málaga,Getafe,34,324,65000,Turbus,2025-02-10,2025-02-10,"{""Asientos reclinables"",""Aire acondicionado"",Baño}",
89605,56451,2025-12-15,900000,9,No disponible,900,Virginiazepeda399@viajes.cl,Almería,Getafe,56,1961,100000,ZS (Eslovenia),2026-07-11,2026-07-12,"{Calefacción,Wifi,Agua,""Aire acondicionado""}",
145806,,,,,Disponible,0,adán8981286@viajes.cl,Granollers,Orense,32,3175,132000,ADO,2026-04-24,,"{Agua,Wifi,TV}",
96814,60861,2026-02-15,1134000,6,No disponible,1134,alejandro3541653@viajes.cl,Zaragoza,Alcobendas,21,4208,189000,PKP (Polonia),2026-04-02,2026-04-04,"{""Aire acondicionado"",Wifi,""Asientos reclinables"",Calefacción,Comida,Agua,Baño}",
