nombre,correo,contrasena,username,telefono_contacto,run,dv,puntos
Sr. Esperanza Arias Zaragoza,sr.3134211@viajes.cl,8Fj4kntcmWs6O,Sr.zaragoza542,+56 2 7287 9157,6227631,2,
María del Carmen Velásquez Paredes,Maríaparedes646@outluc.com,7pBFv1iv4zd,,+56 2 2948 9493,10481144,2,0
Vicente Tórrez Angulo,vitóan636@viajes.cl,B3X5uZ6F9W,vicente4434665,+56 9 9927 2377,8884197,2,
Amalia Torres Macías,amalia8518314@viajes.cl,,amalia5742883,+56 9 2320 7364,29209609,7,
Sta. Vicente Camacho Delvalle,Sta.delvalle496@tourket.com,LlkghN7Vs,sta.8228233,+56 2 1779 8679,16663834,8,
Felipe Malave Guzmán,femagu861@outluc.com,0EM0qX3yBNe,felipe389913,+56 9 9829 3364,13634972,4,-3776
Horacio Núñez Zamudio,honúza973@viajes.cl,LjBB5s2XwjHc0H2A,horacio7004884,+56 9 1252 8240,3033322,5,
Javier Esquivel Pineda,,EfoLl0t3O5w3q,jaespi269,+56 9 7542 1937,13892845,4,
Fernando Almaraz Rivero,fernando9516886@viajes.cl,XeXFRd6UX2p,fealri559,+56 9 0757 4618,4245897,K,
María Eugenia Sosa Sisneros,maeusosi613@viajesanma.com,E3Kt56SlwwQQMrVN,maría3615408,+56 2 7181 0244,,,396
Gloria Esparza Saucedo,gloria5976977@marmol.com,1z8trupWyKUfN,glessa368,+56 9 8230 5946,7629293,0,
Ricardo Oquendo Castillo,ricardo3973419@viajes.cl,Y24jZx1iRQ6gWAWe,ricardo6993336,+56 9 1353 1879,13675797,0,
Sra. Rubén Valdez Lira,srruvali274@viajes.cl,RdyLTzvUA26g,sra.9801908,+56 2 4465 7016,28871279,4,
,maricarmen7666586@edubus.cal,NHcqrhrdKnKeL3z,maricarmen1891224,+56 2 9241 1198,8356729,5,15447
Horacio Brito Mondragón,Horaciomondragón671@viajes.cl,FoV4CKKB9d,Horaciomondragón620,+56 9 6309 3594,23119308,1,
Ana María Solorzano Ledesma,anmasole255@marmol.com,d3KBs54QTV,Analedesma879,+56 9 4970 0391,14398569,5,-4451
César Alejandro Beltrán,céalbe602@outluc.com,,,+56 9 6507 6863,16378798,9,23868
Mario Terán Ocasio,Marioocasio558@tourket.com,ow2XRdO8xQrvkTe,mario1581363,+56 9 9188 3122,,,15988
Luis Miguel Arguello Ulibarri,Luisulibarri495@outluc.com,JeMxFC8fkq1mTe4,,+56 2 5805 7964,10145933,0,0
Silvia Ayala Paredes,siaypa710@viajesanma.com,nfHIet8dE292,Silviaparedes473,+56 9 0288 4765,,,4413
Adela Estévez Valadez,Adelavaladez917@viajes.cl,5ZEiEB18DVgg7,adesva669,+56 9 1658 2783,,,
Elena Puente Rascón,,RT8qvA2pt,Elenarascón584,+56 9 2903 1620,22030988,6,0
Agustín Rodríguez Covarrubias,agroco155@viajes.cl,KJmninb93iIEb,Agustíncovarrubias398,+56 2 4355 6453,23752105,6,
Federico Segura Gonzales,Federicogonzales535@edubus.cal,Vjj6aFZDzV2dV,,+56 2 1541 6895,,,5184
Timoteo Casas de Anda,timoteo7741506@viajes.cl,8aEsBCGEdq,ticadean651,+56 2 3950 7465,,,
Rafael Solorzano Guzmán,rasogu224@viajes.cl,59JkacjCp,rasogu744,+56 2 5714 6119,1284257,0,
José María Cazares Olivárez,jomacaol823@viajes.cl,wt6zSATIrc,jomacaol279,+56 2 5533 8763,13025266,4,
Daniel Tovar Orozco,daniel9564115@viajes.cl,rSDU5LZVyiZ530Dp,datoor784,+56 9 9961 8616,10188544,5,
Sra. Sancho Maya Rentería,Sra.rentería193@wass.com,xCxr0y0SN7,sra.1284367,,,,0
Roberto Delvalle Merino,roberto6254109@viajes.cl,,roberto652719,+56 9 2830 7539,-28550826,6,
Alejandro Ramos Gálvez,alragá795@marmol.com,wtvcEf7ArJbXy,Alejandrogálvez870,+56 9 8179 0592,27334479,9,
Hugo Figueroa Dávila,,4LhChSdTO5LjaHLX,Hugodávila664,,25261641,1,16003
Ricardo Olmos Otero,,pJjwf4wkeYHDto8b,Ricardootero102,,20454407,7,9800
Sta. Margarita Chávez Quiñónez,,xXL2bzjPsAziLfft,Sta.quiñónez514,+56 2 1690 7131,6194219,K,0
Ana María Ordóñez Ibarra,ana168390@viajes.cl,e1Rqo4oPNR7okJsi,anmaorib399,+56 9 3275 7794,21245655,1,
Conchita Ávalos Muñiz,,ZOXg3UhguN17jj5W,coávmu849,+56 9 5905 4230,6949938,4,
Juan Carlos Rangel Herrera,,47w4MMlWe0Y,jucarahe651,+56 9 5445 8998,10308907,7,
Sr. Ángela Ocampo Zayas,sránocza476@viajes.cl,3AHQ5hr5,Sr.zayas958,+56 2 4292 4598,710952,0,
Sara Coronado Pelayo,sacope302@edubus.cal,D3086REYignWrT,,+56 2 0787 1570,28699422,9,-706
Elsa Crespo Villalpando,Elsavillalpando941@viajes.cl,H6M7qLG5m,Elsavillalpando465,+56 2 2866 5111,5524282,8,
Claudia Serna Pichardo,clsepi736@viajes.cl,9dnlBquXQG7,Claudiapichardo392,+56 9 9988 6738,20193189,4,
Sr. Ramiro Cortez Zamora,sr.4154206@viajes.cl,5ZcZgfr0Rz,sr.1164210,,28707987,7,
,,N3NMwwntJTp55m,maría377164,+56 2 6394 6518,20340678,9,0
Lucas Peña Almonte,lupeal718@viajes.cl,Wf50uEo3NLXMfg,Lucasalmonte986,+56 2 8332 2553,19396780,9,
Sra. Adán Delao Guevara,sra.9489774@viajes.cl,CgxupkUUvcG53S,sra.9118895,+56 9 4711 1810,16680382,9,
Juan Carlos Cortés Alaniz,,M8PopqxB,Juanalaniz456,+56 2 6775 6779,6365109,5,3773
Laura Loera Reséndez,laura7467553@edubus.cal,OylAfT9cJjE,lalore208,+56 9 1017 0003,11006057,2,
,,ld30kRYw,Teresaflórez761,+56 2 1088 1794,10990638,7,6378
Gilberto Carrasco Soria,Gilbertosoria980@viajes.cl,2a1VX4nNeest,Gilbertosoria580,+56 9 2199 9808,10970262,5,
Ángela Berríos Alba,Ángelaalba718@viajesanma.com,aFQ1XeKP,ánbeal178,,9409857,2,3164
Marilu Rivas Avilés,,Ce4Avna2mk9HNZw,mariav146,+56 2 8261 5154,-19126049,K,
Lucas Apodaca Ferrer,Lucasferrer412@outluc.com,5uNcM8ldmQ,Lucasferrer600,+56 2 2489 6344,17869014,0,10558
Dorotea Mejía Acevedo,dorotea2336994@edubus.cal,tQzS7VLNuV5i0cCm,dorotea1524736,+56 2 5388 6045,11796100,1,
Lorena Sevilla Rojo,losero995@viajesanma.com,3W1pYvKJ,losero389,+56 9 9355 2955,1012366,6,
Raquel Cazares Robledo,raquel6455489@edubus.cal,sF2kDV4x2I,,+56 9 4861 1181,27445347,8,4224
Fernando Acevedo Vásquez,feacvá813@viajes.cl,8ii2qpI9BvsQdb1,Fernandovásquez253,+56 9 2395 3055,11961604,2,
Sta. Victoria Camacho Rodrígez,stvicaro967@viajes.cl,mO3PDFD7V7Jip,sta.8669640,+56 9 5177 0454,,,
Eva Mata Cepeda,Evacepeda737@edubus.cal,1zFS74vX2,evmace692,+56 2 7051 7043,29265642,4,
