Nombre;Apellidos;Sexo;Edad;País de Origen;Fundación;Razón Tras la Donación;Fecha de Donación;Frecuencia de Participación
Esmeralda;Saldaña Marroquín;F;24;Chile;Fundación Sonrisas;experiencia personal;2023-12-08;trimestral
Abel;Piña Abrego;M;38;Chile;Fundación Crescendo;ayuda comunitaria;2022-04-27;mensual
Zeferino;Castellanos Ontiveros;F;36;Chile;WWF Chile;ayuda comunitaria;2022-07-27;anual
Alfredo;Polanco Varela;F;30;Chile;WWF Chile;conocido;2023-07-05;anual
Adela;Saavedra Manzanares;F;28;Chile;DKMS Chile;experiencia personal;2024-11-21;anual
José;Caldera Crespo;M;72;Chile;DKMS Chile;ayuda comunitaria;2022-06-05;anual
María Cristina;Almaraz Ornelas;F;34;Chile;Coanil;conocido;2021-08-17;única
Barbara;Estrada Casillas;F;53;Chile;WWF Chile;responsabilidad empresarial;2022-11-05;trimestral
Hilda;Hidalgo García;F;52;Chile;Aldeas Infantiles SOS Chile;ayuda comunitaria;2025-03-20;anual
Federico;Jimínez Arguello;M;31;Chile;Fundación Crescendo;ayuda comunitaria;2024-09-04;mensual
Adán;Olmos Reséndez;M;71;Chile;WWF Chile;ayuda comunitaria;2024-09-24;anual
Esparta;Lozano Garay;F;63;Chile;WWF Chile;experiencia personal;2021-10-26;mensual
Yeni;Godoy Ballesteros;F;36;Chile;Aldeas Infantiles SOS Chile;experiencia personal;2025-01-26;única
Indira;Ochoa Campos;M;42;Chile;Fundación Crescendo;conciencia social;2020-10-28;anual
Carlota;Robledo Saldivar;M;55;Chile;Fundación Crescendo;ayuda comunitaria;2021-12-01;trimestral
Caridad;Escobar Duarte;F;30;Chile;DKMS Chile;experiencia personal;2024-05-21;anual
Lorena;Velázquez Padrón;F;56;Chile;Fundación Sonrisas;responsabilidad empresarial;2021-10-17;única
Pamela;Rubio Fonseca;F;27;Chile;Coanil;responsabilidad empresarial;2022-10-22;única
Blanca;Pedraza Centeno;F;24;Chile;Aldeas Infantiles SOS Chile;conocido;2023-09-12;única
Lourdes;Ortiz Almonte;M;29;Chile;Coanil;conocido;2024-04-09;mensual
Ilse;Aparicio Montez;F;31;Chile;Coanil;conciencia social;2023-04-09;mensual
Conchita;Mesa Collazo;F;49;Chile;Aldeas Infantiles SOS Chile;experiencia personal;2025-01-01;trimestral
Juana;Padilla Villareal;M;20;Chile;DKMS Chile;conocido;2021-08-09;única
Zeferino;Saiz Rendón;F;71;Chile;Coanil;conocido;2020-10-26;única
Renato;Echeverría Villareal;M;55;Chile;Coanil;conocido;2024-09-13;única
David;Moya Gollum;F;59;Chile;WWF Chile;conocido;2022-02-25;anual
Adalberto;Terán Valencia;F;66;Chile;DKMS Chile;ayuda comunitaria;2023-03-20;anual
Rodolfo;Rangel Salcedo;F;24;Chile;Coanil;ayuda comunitaria;2022-08-07;única
Pablo;Quintero Madera;M;30;Chile;DKMS Chile;responsabilidad empresarial;2020-11-14;mensual
Roberto;Rolón Acosta;M;22;Chile;Aldeas Infantiles SOS Chile;experiencia personal;2024-01-10;trimestral
Diego;Osorio Feliciano;F;49;Chile;WWF Chile;experiencia personal;2025-04-11;trimestral
Manuel;Quezada Perea;F;73;Chile;Aldeas Infantiles SOS Chile;conocido;2021-11-24;mensual
Ángel;de Jesús Naranjo;M;48;Chile;Aldeas Infantiles SOS Chile;ayuda comunitaria;2021-09-08;mensual
Modesto;Amaya Granados;M;67;Chile;WWF Chile;experiencia personal;2021-10-14;anual
Sara;Ruelas Lara;F;73;Chile;Fundación Sonrisas;conciencia social;2020-11-06;anual
Jaqueline;Longoria Contreras;M;68;Chile;Aldeas Infantiles SOS Chile;ayuda comunitaria;2023-04-14;anual
Celia;Guardado Domínguez;M;20;Chile;Fundación Crescendo;ayuda comunitaria;2024-02-12;única
